ROIid;ROIabbr;ROIname;ROIbaseid;ROIbasename;Voxel;Volume;XYZ
0;BG;Background;[0];Background;1790656;6043.5;27,-24,6
1;SFG_L_7_1;SFG_L_7_1;[ 1 ];SFG_L_7_1;1816;6.13;-5,15,54
2;SFG_R_7_1;SFG_R_7_1;[ 2 ];SFG_R_7_1;2166;7.31;7,16,54
3;SFG_L_7_2;SFG_L_7_2;[ 3 ];SFG_L_7_2;2191;7.39;-18,24,53
4;SFG_R_7_2;SFG_R_7_2;[ 4 ];SFG_R_7_2;1738;5.87;22,26,51
5;SFG_L_7_3;SFG_L_7_3;[ 5 ];SFG_L_7_3;1824;6.16;-11,49,40
6;SFG_R_7_3;SFG_R_7_3;[ 6 ];SFG_R_7_3;2093;7.06;13,48,40
7;SFG_L_7_4;SFG_L_7_4;[ 7 ];SFG_L_7_4;1545;5.21;-18,-1,65
8;SFG_R_7_4;SFG_R_7_4;[ 8 ];SFG_R_7_4;1585;5.35;20,4,64
9;SFG_L_7_5;SFG_L_7_5;[ 9 ];SFG_L_7_5;1719;5.80;-6,-5,58
10;SFG_R_7_5;SFG_R_7_5;[ 10 ];SFG_R_7_5;1702;5.74;7,-4,60
11;SFG_L_7_6;SFG_L_7_6;[ 11 ];SFG_L_7_6;1612;5.44;-5,36,38
12;SFG_R_7_6;SFG_R_7_6;[ 12 ];SFG_R_7_6;2152;7.26;6,38,35
13;SFG_L_7_7;SFG_L_7_7;[ 13 ];SFG_L_7_7;2485;8.39;-8,56,15
14;SFG_R_7_7;SFG_R_7_7;[ 14 ];SFG_R_7_7;2193;7.40;8,58,13
15;MFG_L_7_1;MFG_L_7_1;[ 15 ];MFG_L_7_1;2587;8.73;-27,43,31
16;MFG_R_7_1;MFG_R_7_1;[ 16 ];MFG_R_7_1;2407;8.12;30,37,36
17;MFG_L_7_2;MFG_L_7_2;[ 17 ];MFG_L_7_2;1921;6.48;-42,13,36
18;MFG_R_7_2;MFG_R_7_2;[ 18 ];MFG_R_7_2;1411;4.76;42,11,39
19;MFG_L_7_3;MFG_L_7_3;[ 19 ];MFG_L_7_3;1930;6.51;-28,56,12
20;MFG_R_7_3;MFG_R_7_3;[ 20 ];MFG_R_7_3;2411;8.14;28,55,17
21;MFG_L_7_4;MFG_L_7_4;[ 21 ];MFG_L_7_4;2379;8.03;-41,41,16
22;MFG_R_7_4;MFG_R_7_4;[ 22 ];MFG_R_7_4;2358;7.96;42,44,14
23;MFG_L_7_5;MFG_L_7_5;[ 23 ];MFG_L_7_5;2292;7.74;-33,23,45
24;MFG_R_7_5;MFG_R_7_5;[ 24 ];MFG_R_7_5;1901;6.42;42,27,39
25;MFG_L_7_6;MFG_L_7_6;[ 25 ];MFG_L_7_6;1506;5.08;-32,4,55
26;MFG_R_7_6;MFG_R_7_6;[ 26 ];MFG_R_7_6;1420;4.79;34,8,54
27;MFG_L_7_7;MFG_L_7_7;[ 27 ];MFG_L_7_7;1893;6.39;-26,60,-6
28;MFG_R_7_7;MFG_R_7_7;[ 28 ];MFG_R_7_7;2397;8.09;25,61,-4
29;IFG_L_6_1;IFG_L_6_1;[ 29 ];IFG_L_6_1;782;2.64;-46,13,24
30;IFG_R_6_1;IFG_R_6_1;[ 30 ];IFG_R_6_1;848;2.86;45,16,25
31;IFG_L_6_2;IFG_L_6_2;[ 31 ];IFG_L_6_2;923;3.12;-47,32,14
